Employee,Name.GivenName,Name.MiddleName,Name.FamilyName,StartDate,RelationshipToOrganization,RelationshipStatus,RetirementDate,ID.IssuingAuthority,ID.DocumentNumber,Preferences.PointOfOrigin,PrimaryWorkAssignment
223,Jennifer,,Smartson,20100913,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8814,BANK CONTROL GROUP,0
224,Ruben,,Smartson,20090406,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8815,BANK CONTROL GROUP,0
225,Samantha,,Smartson,20060102,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8816,BANK CONTROL GROUP,0
226,Rebel,,Smartson,20050502,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8817,BANK CONTROL GROUP,0
227,Karen,,Smartson,20150413,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8818,BANK CONTROL GROUP,0
228,Cynthia,,Smartson,20180101,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8819,BANK CONTROL GROUP,1
229,David,,Smartson,20130902,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8820,BANK CONTROL GROUP,1
230,Cathy,,Smartson,20100517,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8821,BANK CONTROL GROUP,1
231,Ken,,Smartson,20140203,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8822,BANK CONTROL GROUP,1
232,Wilson,,Smartson,20161003,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8823,BANK CONTROL GROUP,0
300,Inez,,Smartson,20000501,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8824,BANK CONTROL GROUP,1
301,Ian,,Smartson,19990415,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8825,BANK CONTROL GROUP,1
302,Imogen,,Smartson,20100702,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8826,BANK CONTROL GROUP,1
303,Isaac,,Smartson,20011008,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8827,BANK CONTROL GROUP,1
304,Isabelle,,Smartson,19980701,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8828,BANK CONTROL GROUP,1
320,Ryan,,Smartson,20110914,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8829,BANK CONTROL GROUP,1
321,River,,Smartson,20120701,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8830,BANK CONTROL GROUP,1
322,Rosita,,Smartson,20100814,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8831,BANK CONTROL GROUP,1
323,Rebecca,,Smartson,20150901,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8832,BANK CONTROL GROUP,1
324,Ronald,,Smartson,20130201,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8833,BANK CONTROL GROUP,1
340,Paul,,Smartson,20100101,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8834,BANK CONTROL GROUP,1
341,Pillar,,Smartson,20140401,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8835,BANK CONTROL GROUP,1
342,Pedro,,Smartson,20130101,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8836,BANK CONTROL GROUP,1
343,Paris,,Smartson,20100913,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8837,BANK CONTROL GROUP,1
360,Carlos,,Smartson,20090406,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8838,BANK CONTROL GROUP,1
361,Chloe,,Smartson,20060102,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8839,BANK CONTROL GROUP,1
370,Steven,,Smartson,20050502,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8840,BANK CONTROL GROUP,1
371,Shawna,,Smartson,20150413,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8841,BANK CONTROL GROUP,1
372,Sandy,,Smartson,20180101,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8842,BANK CONTROL GROUP,1
373,Sean,,Smartson,20130902,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8843,BANK CONTROL GROUP,1
386,Tracy,,Smartson,20100517,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8844,BANK CONTROL GROUP,0
387,Tom,,Smartson,20140203,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8845,BANK CONTROL GROUP,0
390,Terry,,Smartson,20161003,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8846,BANK CONTROL GROUP,1
901,Stephanie,,Palisek,20000101,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8847,BANK CONTROL GROUP,0
902,Jennifer,,Taylor-Hall,19850101,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8848,BANK CONTROL GROUP,0
903,Ruben,,Prado,19850101,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8849,BANK CONTROL GROUP,0
904,Carolyn,,Sonny-Davis,19850101,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8850,BANK CONTROL GROUP,0
905,Jose,,Gross,19850101,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8851,BANK CONTROL GROUP,0
906,Jacqui,,Sajour,19850101,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8852,BANK CONTROL GROUP,0
907,Elizabeth,,Stephens,19850101,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8853,BANK CONTROL GROUP,0
908,Ricardo,,Tonos,19850101,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8854,BANK CONTROL GROUP,0
1000,Samantha,,Baker,19771205,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8855,BANK CONTROL GROUP,1
1001,Jennifer,,Tatum,19770201,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8856,BANK CONTROL GROUP,0
1002,Rita,,Susat,19770307,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8857,BANK CONTROL GROUP,0
1003,Jewell,,Elmore,19770606,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8858,BANK CONTROL GROUP,0
1004,Jennifer,,Rehn,19810914,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8859,BANK CONTROL GROUP,0
1005,McKayla,,Joshi,19851228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8860,BANK CONTROL GROUP,0
1006,Samantha,,Sather,19860526,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8861,BANK CONTROL GROUP,0
1007,Barbara,,Polley,19901228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8862,BANK CONTROL GROUP,0
1008,Amy,,Caperton,19910915,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8863,BANK CONTROL GROUP,0
1009,Jennifer,,Batson,19851228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8864,BANK CONTROL GROUP,0
1010,Celine,,Boyle,19860526,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8865,BANK CONTROL GROUP,0
1011,Elizabeth,,Perez,19910915,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8866,BANK CONTROL GROUP,0
1012,Amy,,Turner,19770606,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8867,BANK CONTROL GROUP,0
1013,Samantha,,Stive,19800428,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8868,BANK CONTROL GROUP,0
1014,Kenneth,,Crammer,19800914,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8869,BANK CONTROL GROUP,0
1015,William,,Crain,19810914,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8870,BANK CONTROL GROUP,0
1016,Gerald,,Speed,19851228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8871,BANK CONTROL GROUP,0
1017,Theodore,,Smith,19860526,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8872,BANK CONTROL GROUP,0
1018,Billy,,Upshaw,19871010,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8873,BANK CONTROL GROUP,1
1019,Dana,,Jerdee,19871226,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8874,BANK CONTROL GROUP,0
1020,Barbara,,Vasquez,19880426,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8875,BANK CONTROL GROUP,0
1021,Linda,,Bosoco,19901228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8876,BANK CONTROL GROUP,0
1022,Melissa,,Maldanado,19800914,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8877,BANK CONTROL GROUP,0
1023,Stephanie,,Palisek,19810914,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8878,BANK CONTROL GROUP,0
1024,Michael,,Kensinger,19851228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8879,BANK CONTROL GROUP,0
1025,Amanda,,Cummings,19860526,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8880,BANK CONTROL GROUP,0
1026,Cecily,,Ward,19851228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8881,BANK CONTROL GROUP,1
1027,Thomas,,Andrews,19860526,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8882,BANK CONTROL GROUP,0
1028,Marilyn,,Bowers,19901228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8883,BANK CONTROL GROUP,0
1029,Rene,,Harmon,19910915,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8884,BANK CONTROL GROUP,0
1030,Michael,,Wohlenberg,19851228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8885,BANK CONTROL GROUP,1
1031,Dana,,Foster,19880426,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8886,BANK CONTROL GROUP,0
1032,Jim,,Bruce,19901228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8887,BANK CONTROL GROUP,0
1033,Marilyn,,Daughtery,19771205,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8888,BANK CONTROL GROUP,1
1034,Foster,,Meyer,19770201,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8889,BANK CONTROL GROUP,0
1035,Anne,,Ludeman,19770307,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8890,BANK CONTROL GROUP,0
1036,Elizabeth,,Stephens,19770606,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8891,BANK CONTROL GROUP,0
1037,Anne,,Nieves,19880426,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8892,BANK CONTROL GROUP,0
1038,Kenneth,,Knauber,19901228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8893,BANK CONTROL GROUP,0
1039,Jean,,Patel,19771205,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8894,BANK CONTROL GROUP,0
1040,Foster,,Family,19800428,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8895,BANK CONTROL GROUP,0
1041,William,,Winters,19800914,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8896,BANK CONTROL GROUP,1
1042,Sandy,,Classen,19810914,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8897,BANK CONTROL GROUP,1
1043,Sandy,Leslie3,Abate,19851228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8898,TEST,1
1044,Kenneth,,Tillerson,19860526,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8899,BANK CONTROL GROUP,0
1045,Jerry,,Gardner,19871010,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8900,BANK CONTROL GROUP,0
1046,George,,Dowell,19871226,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8901,BANK CONTROL GROUP,0
1047,Sandy,,Ballard,19880426,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8902,BANK CONTROL GROUP,0
1048,Elizabeth,,Malone,19901228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8903,BANK CONTROL GROUP,1
1049,Edward,,Moore,19800914,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8904,BANK CONTROL GROUP,0
1050,Roy,,Bakos,19810914,EMPLOYEE,TERMINATED,00000000,Social Security,222-55-8905,BANK CONTROL GROUP,0
1051,Foster,,Dane,19851228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8906,BANK CONTROL GROUP,0
1052,Roy,,Trevino,19860526,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8907,BANK CONTROL GROUP,0
1053,Kenneth,,Alvarez,19851228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8908,BANK CONTROL GROUP,1
1054,Erin,,Cooper,19860526,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8909,BANK CONTROL GROUP,1
1055,William,,Odell,19901228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8910,BANK CONTROL GROUP,0
1056,Edward,,Hollabaugh,19910915,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8911,BANK CONTROL GROUP,0
1057,Roy,,Matkin,19851228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8912,BANK CONTROL GROUP,0
1058,Marilyn,,Jackson,19880426,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8913,BANK CONTROL GROUP,0
1059,Rene,,Shilstone,19901228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8914,BANK CONTROL GROUP,0
1060,Linda,,Perry,19771205,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8915,BANK CONTROL GROUP,0
1061,Ben,,Erickson,19800428,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8916,BANK CONTROL GROUP,0
1062,Anne,,Robinson,19800914,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8917,BANK CONTROL GROUP,1
1063,Dana,,Zvonecek,19810914,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8918,BANK CONTROL GROUP,0
1064,Kenneth,,Erwin,19851228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8919,BANK CONTROL GROUP,0
1065,Dana,,Gaponov,19860526,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8920,BANK CONTROL GROUP,0
1066,Anne,,Walther,19871010,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8921,BANK CONTROL GROUP,0
1067,Elizabeth,,Griffin,19871226,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8922,BANK CONTROL GROUP,0
1068,Henry,,Fernandez,19880426,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8923,BANK CONTROL GROUP,0
1069,Bill,,Jordan,19901228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8924,BANK CONTROL GROUP,0
1070,Melissa,,Wofford,19800914,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8925,BANK CONTROL GROUP,0
1071,Foster,,Dupree,19810914,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8926,BANK CONTROL GROUP,0
1072,Thomas,,Henson,19851228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8927,BANK CONTROL GROUP,0
1073,Kenneth,,Stevens,19860526,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8928,BANK CONTROL GROUP,0
1074,Sam,,Higoy,19851228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8929,BANK CONTROL GROUP,0
1075,Roy,,Berg,19860526,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8930,BANK CONTROL GROUP,1
1076,Teeny,,DeLaney,19901228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8931,BANK CONTROL GROUP,1
1077,Rene,,Whitaker,19910915,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8932,BANK CONTROL GROUP,0
1078,Trinnie,,Turner,19851228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8933,BANK CONTROL GROUP,0
1079,Michael,,Adams,19880426,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8934,BANK CONTROL GROUP,1
1080,Linda,,Douglas,19901228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8935,BANK CONTROL GROUP,0
1081,Foster,,Beeman,19771205,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8936,BANK CONTROL GROUP,0
1082,Roy,,Few,19800428,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8937,BANK CONTROL GROUP,0
1083,Hector,,Erkoc,19800914,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8938,BANK CONTROL GROUP,0
1084,Marilyn,,Wiley,19810914,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8939,BANK CONTROL GROUP,0
1085,Edward,,Baldwin,19851228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8940,BANK CONTROL GROUP,1
1086,Rene,,Killen,19860526,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8941,BANK CONTROL GROUP,0
1087,Edward,,Ozcan,19871010,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8942,BANK CONTROL GROUP,0
1088,Foster,,Korkmas,19871226,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8943,BANK CONTROL GROUP,0
1089,Kenneth,,Fields,19880426,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8944,BANK CONTROL GROUP,0
1090,Suzy,,Harmon,19901228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8945,BANK CONTROL GROUP,0
1091,June,,Farmer,19800914,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8946,BANK CONTROL GROUP,0
1092,William,,Fife,19810914,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8947,BANK CONTROL GROUP,1
1093,Marilyn,,Meler,19851228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8948,BANK CONTROL GROUP,0
1094,Kenneth,,Daniel,19860526,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8949,BANK CONTROL GROUP,0
1095,Melissa,,Ranne,19851228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8950,BANK CONTROL GROUP,0
1096,Elizabeth,,Hurtado,19860526,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8951,BANK CONTROL GROUP,0
1097,Erin,,Hart,19901228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8952,BANK CONTROL GROUP,0
1098,Erin,,Simpson,19910915,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8953,BANK CONTROL GROUP,0
1099,Lisa,,Biggerstaff,19851228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8954,BANK CONTROL GROUP,0
1100,Linda,,Medaille,19880426,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8955,BANK CONTROL GROUP,0
1101,Rene,,Barrett,19901228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8956,BANK CONTROL GROUP,0
1102,Linda,,Allard,19771205,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8957,BANK CONTROL GROUP,2
1103,William,,Watson,19800428,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8958,BANK CONTROL GROUP,0
1104,Elizabeth,,Bushwar,19800914,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8959,BANK CONTROL GROUP,0
1105,Melissa,,Gimble,19810914,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8960,BANK CONTROL GROUP,0
1106,Anne,,Garrison,19851228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8961,BANK CONTROL GROUP,0
1107,Dana,,Ho,19860526,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8962,BANK CONTROL GROUP,0
1108,Rene,,Ingle,19871010,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8963,BANK CONTROL GROUP,0
1109,Melissa,,Hampton,19871226,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8964,BANK CONTROL GROUP,0
1110,Melissa,,Endicott,19880426,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8965,BANK CONTROL GROUP,1
1111,Linda,,Raval,19901228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8966,BANK CONTROL GROUP,0
1112,Linda,,Goksen,19800914,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8967,BANK CONTROL GROUP,0
1113,Teresa,,Doby,19810914,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8968,BANK CONTROL GROUP,0
1114,Roy,,Power,19851228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8969,BANK CONTROL GROUP,0
1115,Erin,,Fryrear,19860526,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8970,BANK CONTROL GROUP,0
1116,Sandy,,Tuttle,19851228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8971,BANK CONTROL GROUP,0
1117,Melissa,,Stare,19860526,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8972,BANK CONTROL GROUP,0
1118,Tess,,Woodcock,19901228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8973,BANK CONTROL GROUP,1
1119,William,,Matthews,19910915,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8974,BANK CONTROL GROUP,0
1120,Edward,,Matysek,19851228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8975,BANK CONTROL GROUP,0
1121,Sandy,,Woertendyke,19880426,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8976,BANK CONTROL GROUP,1
1122,Elizabeth,,Barnes,19901228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8977,BANK CONTROL GROUP,1
1123,Linda,,Manfull,19771205,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8978,BANK CONTROL GROUP,0
1124,Dana,,Robertson,19800428,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8979,BANK CONTROL GROUP,0
1125,Dana,,Walker,19800914,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8980,BANK CONTROL GROUP,0
1126,Edward,,Svehlak,19810914,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8981,BANK CONTROL GROUP,1
1127,Rene,,Thomas,19851228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8982,BANK CONTROL GROUP,0
1128,Foster,,Torres,19860526,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8983,BANK CONTROL GROUP,1
1129,Roy,,Nordeman,19871010,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8984,BANK CONTROL GROUP,0
1130,Kenneth,,Tillerson,19871226,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8985,BANK CONTROL GROUP,0
1131,Anne,,Cottrel,19880426,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8986,BANK CONTROL GROUP,1
1132,Dana,,Schuchman,19901228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8987,BANK CONTROL GROUP,0
1133,Roy,,Crafts,19800914,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8988,BANK CONTROL GROUP,0
1134,Anne,,Hays,19810914,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8989,BANK CONTROL GROUP,0
1135,Michael,,Heslep,19851228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8990,BANK CONTROL GROUP,0
1136,Edward,,Grzymkoski,19860526,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8991,BANK CONTROL GROUP,0
1137,Richard,,Willems,19851228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8992,BANK CONTROL GROUP,1
1138,Melissa,,Clemming,19860526,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8993,BANK CONTROL GROUP,1
1139,Edward,,Witthuhn,19901228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8994,BANK CONTROL GROUP,0
1140,Marilyn,,Shroyer,19910915,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8995,BANK CONTROL GROUP,0
1141,Melissa,,Parker,19851228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8996,BANK CONTROL GROUP,0
1142,William,,Echols,19880426,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8997,BANK CONTROL GROUP,0
1143,Erin,,Rejkowski,19901228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8998,BANK CONTROL GROUP,0
1144,Rene,,Books,19771205,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8999,BANK CONTROL GROUP,0
1145,Edward,,Magee,19800428,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-9000,BANK CONTROL GROUP,0
1146,Erin,,Mueller,19800914,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-9001,BANK CONTROL GROUP,0
1147,William,,Bessler,19810914,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-9002,BANK CONTROL GROUP,0
1148,Linda,,Boston,19851228,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-9003,BANK CONTROL GROUP,0
1149,Michael,,Engelland,19860526,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-9004,BANK CONTROL GROUP,0
